row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected
1,1,,-66.26,1.3,35.06,61.02,46.938462,0.716522,0.898862,-132.230769,10403.84615,10403.84615,77.540383,-122884.6154,0.898862,0.716522,0.666468,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,1,TRUE
1,1,,-66.28,1.3,35.06,62.88,48.369231,0.876054,0.946441,-153.192308,-11615.38462,-11615.38462,-74.327311,-52403.84615,0.946441,0.876054,0.880138,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,1,TRUE
1,1,,-66.3,1.3,35.04,62.11,47.776923,0.566373,0.836754,-125.846154,-5057.692308,-5057.692308,-59.318262,68365.38462,0.836754,0.566373,0.010063,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,1,TRUE
1,2,,-65.56,1.3,20.07,28.24,21.723077,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.58,1.3,20.08,29.14,22.415385,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.6,1.3,20.09,29.88,22.984615,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.62,1.3,20.09,30.61,23.546154,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.64,1.3,20.07,31.49,24.223077,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.66,1.3,20.09,32.36,24.892308,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.68,1.3,20.08,33.25,25.576923,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,2,,-65.7,1.3,25.03,34.31,26.392308,0,0.998363,-35.230769,326.923077,326.923077,2.247115,0,0.998363,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,FALSE
1,2,,-65.72,1.3,25.03,35.23,27.1,0.77239,0.998788,-36.269231,-269.230769,-269.230769,-4.656123,-2596.153846,0.998788,0.77239,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,0.2,FALSE
1,2,,-65.74,1.3,25.04,36.27,27.9,0.874586,0.999301,-37.692308,230.769231,230.769231,0.928678,-3557.692308,0.999301,0.874586,0.867579,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,2,,-65.76,1.3,25.04,37.46,28.815385,0.870001,0.998195,-39.923077,288.461538,288.461538,1.946311,-5576.923077,0.998195,0.870001,0.851606,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,2,,-65.78,1.3,25.05,38.58,29.676923,0.895275,0.997754,-41.423077,-134.615385,-134.615385,-2.178878,-3750,0.997754,0.895275,0.899083,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
